DATE,PRICE,Open,High,Low,Vol.,Change %
"Feb 26, 2012",4364.14,4380.1,4406.1,4337.6,5.66B,-0.57%
"Feb 19, 2012",4388.99,4289.3,4389.4,4286.9,5.70B,2.71%
"Feb 12, 2012",4273.26,4321.9,4362.8,4246.4,5.28B,-1.14%
"Feb 05, 2012",4322.6,4334.6,4380.4,4320.3,5.17B,0.06%
"Jan 29, 2012",4320.12,4347,4355.3,4291,5.15B,-0.65%
"Jan 22, 2012",4348.48,4300.2,4373.3,4281.8,3.22B,1.06%
"Jan 15, 2012",4303.02,4244,4320.6,4201.5,4.54B,1.12%
"Jan 08, 2012",4255.4,4170.6,4261.8,4145.1,3.69B,2.18%
"Jan 01, 2012",4164.45,4123.3,4254,4122.6,2.54B,1.30%
"Dec 25, 2011",4111.04,4191.3,4193.7,4091.6,1.26B,-1.93%
"Dec 18, 2011",4192.15,4208.1,4208.3,4103.1,4.30B,-0.63%
"Dec 11, 2011",4218.81,4281.6,4331.7,4175.1,5.18B,-1.06%
"Dec 04, 2011",4264.06,4350.6,4391.3,4248.5,4.82B,-1.89%
"Nov 27, 2011",4346.29,4069,4346.3,4068.7,6.32B,7.12%
"Nov 20, 2011",4057.59,4242.5,4251.3,4047.4,5.40B,-4.45%
"Nov 13, 2011",4246.68,4371.3,4423.9,4242.3,4.40B,-2.57%
"Nov 06, 2011",4358.56,4343,4424,4270.3,4.78B,0.37%
"Oct 30, 2011",4342.47,4407.7,4416.6,4209,4.66B,-1.56%
"Oct 23, 2011",4411.42,4216,4472.2,4215.9,4.89B,4.95%
"Oct 16, 2011",4203.44,4283.7,4348.1,4193.5,4.29B,-1.54%
"Oct 09, 2011",4268.97,4219.9,4316.9,4210.6,5.06B,1.04%
"Oct 02, 2011",4224.97,4053.7,4242.4,3905.2,6.61B,3.81%
